narrationId,narrationClass,marginTopVh,marginBottomVh,minHeightVh,h2Text,paragraphText,hRef,hRefText,trigger,graphTitle,graphCaption
,intro,40,40,50,Building a data story with ScrollyTeller,"To demonstrate ScrollyTeller's functionality we'll implement a simple data story using Hans Rosling's famous ""Wealth and Health of Nations"" animated bubble plot.<br><br>This data is from <a style=""display: inline;"" target=""blank"" href=""https://www.gapminder.org/"">gapminder.org,</a> and the chart was modified from <a  style=""display: inline;"" href=""https://robisateam.github.io/courses/d3-course/"" target=""blank"">this excellent d3 tutorial.</a>",,,"{
	""containerStyle"": {
		""opacity"": 1
	},
	""year"": 1950
}",The Wealth and Health of Nations,"See Hans Rosling's excellent summary video on this chart (with updated data) <a href=""https://www.gapminder.org/answers/how-does-income-relate-to-life-expectancy/"" target=blank>here.</a>"
,intro,40,40,50,The chart,"We'll assume that you can create your own chart that can respond to changes with <strong>render()</strong> or <strong>update()</strong> functions.<br><br>For example, this chart component has a constructor function that creates the chart, <br><pre class=""prettyprint lang-js"">new WealthAndHealthOfNations({ data })</pre><br>and a render function that updates the chart with data for the specified year,<br><pre class=""prettyprint lang-js"">render({ year })</pre>",,,"{
	""snippet"": null
}",The Wealth and Health of Nations,"See Hans Rosling's excellent summary video on this chart (with updated data) <a href=""https://www.gapminder.org/answers/how-does-income-relate-to-life-expectancy/"" target=blank>here.</a>"
,intro,40,40,50,The final result,"Eventually, we'll want to animate this chart to tell an exciting story, so here's what we're going for: triggering some chart actions based on scroll events or scroll progress.<br><br>(if you're using the spacebar/arrow keys, scroll through this to see the chart smoothly update)",,,"{
	""year"": null,
	""yearDomain"": [1950, 2008],
	""svgFileName"": null,
	""snippet"": null
}",The Wealth and Health of Nations,"See Hans Rosling's excellent summary video on this chart (with updated data) <a href=""https://www.gapminder.org/answers/how-does-income-relate-to-life-expectancy/"" target=blank>here.</a>"
storyConfigStart,storyConfig,40,40,50,Configuring ScrollyTeller,Let's look at how we can use ScrollyTeller configuration to create a chart-based data story like this.,,,"{
	""containerStyle"": {
		""opacity"": 1
	},
	""svgFileName"": ""slide5"",
	""snippet"": null,
	""yearDomain"": null,
	""snippet"": null,
	""highlight"":  null
}",,
,storyConfig,40,40,50,Configuring ScrollyTeller,The code snippet to the right shows the JavaScript configuration object that specifies how the data story is constructed.,,,"{
	""containerStyle"": {
		""opacity"": 1
	},
	""svgFileName"": null,
	""snippet"": ""scrollyTellerConfig"",
	""highlight"":  ""4""
}",,
,storyConfig,40,40,50,Configuring ScrollyTeller,"This sample data story has 2 different 'sections':  'intro' and 'wealthAndHealth'.<br><br>Each section contains a configuration object that encapsulates narration (the scrolling text boxes that narrate the story), data, graph rendering code, and event handling code to trigger graph events when narration scrolls into view.",,,"{
	""containerStyle"": {
		""opacity"": 1
	},
	""snippet"": ""scrollyTellerConfig"",
	""highlight"":  ""1,2""
}",,
,storyConfig,40,40,50,App Container Id,"The <strong>storyConfig</strong> object contains two properties: 1) an <strong>appContainerId</strong>, which defines the <strong>div</strong> id to render the scrolling content into, and . . .",,,"{
	""containerStyle"": {
		""opacity"": 1
	},
	""snippet"": ""scrollyTellerConfig"",
	""highlight"": ""5""
}",,
,storyConfig,40,40,50,Section List,2) a <strong>sectionList</strong> object that contains configurations for each of the different sections.,,,"{
	""containerStyle"": {
		""opacity"": 1
	},
	""snippet"": ""scrollyTellerConfig"",
	""highlight"": ""7,8,9,10,11""
}",,
,storyConfig,40,40,50,Rendering the story,"To build the HTML for the story, we create a ScrollyTeller instance and call the render() function to create the DOM elements.",,,"{
	""containerStyle"": {
		""opacity"": 1
	},
	""snippet"": ""scrollyTellerConfig"",
	""highlight"": ""13,14,15""
}",,
sectionConfigStart,sectionConfig,40,40,50,Section Configuration,"Next, we'll look at how we define the <strong>wealthAndHealth</strong> object defined on line 2 and included in the story's <strong>sectionList</strong>.",,,"{
	""containerStyle"": {
		""opacity"": 1
	},
	""snippet"": ""scrollyTellerConfig"",
	""highlight"": null,
	""highlight"": ""2,9""
}",,
,sectionConfig,40,40,50,Section configuration,This code snippet expands the wealthAndHealth section configuration from the previous story rendering code.,,,"{
	""containerStyle"": {
		""opacity"": 1
	},
	""snippet"": ""sectionConfigSummary"",
	""highlight"": ""1""
}",,
,sectionConfig,40,40,50,Section Configuration,"The section config object must contain a unique <strong>sectionIdentifier</strong> (string), which is useful for creating css selectors and uniquely identifying each section.<br><br>For example, ScrollyTeller builds this section within: &lt;div id=""<strong>section_wealthAndHealth</strong> /&gt;, and our graph will be contained within: &lt;div id=""<strong>graph_wealthAndHealth</strong>"" /&gt;.",,,"{
	""containerStyle"": {
		""opacity"": 1
	},
	""snippet"": ""sectionConfigSummary"",
	""highlight"": ""2""
}",,
,sectionConfig,40,40,50,Section Configuration,"The section config object also contains:<br><br>1) <strong>Data Paths/Promises</strong> for the narration and graph-specific data,<br><br>2) <strong>Initial render functions</strong> called upon ScrollyTeller.render(), and<br><br>3) <strong>Event based functions</strong> that respond to scroll and resize events.",,,"{
	""containerStyle"": {
		""opacity"": 1
	},
	""snippet"": ""sectionConfigSummary"",
	""highlight"": ""4,8,12""
}",,
fetchNarrationStart,fetchNarration,40,40,50,Fetch & Render,Let's walk through what happens when ScrollyTeller.render() is called for our Wealth and Health of Nations story.  The same process occurs for each section in the data story.,,,"{
	""containerStyle"": {
		""opacity"": 1
	},
	""snippet"": ""sectionConfigSummary"",
	""highlight"": ""4,8""
}",,
